date,close
2011-01-03,0.62
2011-01-04,0.63
2011-01-05,0.64
2011-01-06,0.64
2011-01-07,0.64
2011-01-10,0.64
2011-01-11,0.64
2011-01-12,0.64
2011-01-13,0.65
2011-01-14,0.65
2011-01-18,0.64
2011-01-19,0.65
2011-01-21,0.64
2011-01-24,0.63
2011-01-25,0.60
2011-01-26,0.60
2011-01-27,0.60
2011-01-28,0.64
2011-01-31,0.60
2011-02-01,0.65
2011-02-02,0.64
2011-02-03,0.62
2011-02-04,0.65
2011-02-07,0.65
2011-02-08,0.65
2011-02-10,0.62
2011-02-11,0.65
2011-02-14,0.65
2011-02-15,0.67
2011-02-16,0.68
2011-02-17,0.70
2011-02-18,0.70
2011-02-22,0.70
2011-02-23,0.73
2011-02-24,0.73
2011-02-25,0.73
2011-02-28,0.73
2011-03-01,0.74
2011-03-02,0.74
2011-03-03,0.78
2011-03-04,0.71
2011-03-07,0.80
2011-03-08,0.76
2011-03-09,0.80
2011-03-10,0.75
2011-03-11,0.72
2011-03-14,0.72
2011-03-15,0.77
2011-03-16,0.75
2011-03-17,0.75
2011-03-18,0.75
2011-03-21,0.75
2011-03-22,0.75
2011-03-23,0.75
2011-03-24,0.75
2011-03-25,0.75
2011-03-28,0.75
2011-03-30,0.72
2011-04-01,0.73
2011-04-04,0.85
2011-04-05,0.82
2011-04-06,0.86
2011-04-07,0.85
2011-04-08,0.89
2011-04-11,0.82
2011-04-12,0.89
2011-04-13,0.92
2011-04-14,0.90
2011-04-15,0.90
2011-04-18,1.00
2011-04-19,1.00
2011-04-20,0.98
2011-04-21,0.98
2011-04-22,0.98
2011-04-25,0.97
2011-04-26,0.98
2011-04-27,0.92
2011-04-28,0.79
2011-04-29,0.98
2011-05-02,0.95
2011-05-04,1.00
2011-05-05,1.00
2011-05-06,1.00
2011-05-09,0.98
2011-05-10,0.98
2011-05-12,0.90
2011-05-17,0.90
2011-05-20,0.83
2011-05-23,0.80
2011-05-26,0.77
2011-05-27,0.93
2011-05-31,0.90
2011-06-01,0.87
2011-06-02,0.86
2011-06-03,0.90
2011-06-06,0.89
2011-06-08,0.85
2011-06-09,0.77
2011-06-10,0.68
2011-06-13,0.77
2011-06-14,0.85
2011-06-15,0.90
2011-06-16,0.70
2011-06-17,0.71
2011-06-20,0.80
2011-06-21,0.90
2011-06-22,0.90
2011-06-23,0.89
2011-06-27,0.85
2011-06-28,0.88
2011-06-29,0.87
2011-07-01,0.90
2011-07-05,0.80
2011-07-06,0.83
2011-07-07,0.85
2011-07-08,0.83
2011-07-11,0.80
2011-07-12,0.75
2011-07-14,0.75
2011-07-15,0.75
2011-07-18,0.82
2011-07-19,0.75
2011-07-20,0.79
2011-07-21,0.85
2011-07-22,0.83
2011-07-25,0.85
2011-07-26,0.87
2011-07-27,0.87
2011-07-28,0.87
2011-07-29,0.88
2011-08-01,0.90
2011-08-02,0.89
2011-08-03,0.85
2011-08-04,0.90
2011-08-05,0.90
2011-08-08,0.90
2011-08-09,0.88
2011-08-11,0.87
2011-08-15,0.88
2011-08-16,0.89
2011-08-18,0.85
2011-08-19,0.85
2011-08-22,0.80
2011-08-23,0.75
2011-08-25,0.85
2011-08-26,0.70
2011-08-29,0.82
2011-08-30,0.77
2011-08-31,0.81
2011-09-01,0.81
2011-09-02,0.80
2011-09-06,0.75
2011-09-08,0.75
2011-09-09,0.80
2011-09-13,0.80
2011-09-15,0.75
2011-09-16,0.80
2011-09-20,0.73
2011-09-21,0.73
2011-09-22,0.77
2011-09-23,0.73
2011-09-26,0.78
2011-09-27,0.79
2011-09-28,0.79
2011-09-29,0.79
2011-10-04,0.76
2011-10-05,0.69
2011-10-06,0.69
2011-10-10,0.74
2011-10-12,0.74
2011-10-14,0.73
2011-10-17,0.73
2011-10-18,0.70
2011-10-19,0.70
2011-10-20,0.74
2011-10-25,0.71
2011-10-26,0.68
2011-10-27,0.75
2011-10-28,0.78
2011-10-31,0.77
2011-11-01,0.77
2011-11-03,0.79
2011-11-04,0.80
2011-11-07,0.79
2011-11-08,0.75
2011-11-09,0.70
2011-11-10,0.79
2011-11-11,0.79
2011-11-15,0.75
2011-11-17,0.73
2011-11-18,0.73
2011-11-21,0.78
2011-11-22,0.77
2011-11-23,0.72
2011-11-25,0.75
2011-11-29,0.75
2011-12-01,0.70
2011-12-02,0.72
2011-12-05,0.70
2011-12-06,0.63
2011-12-07,0.69
2011-12-08,0.70
2011-12-12,0.70
2011-12-13,0.64
2011-12-14,0.70
2011-12-15,0.70
2011-12-16,0.70
2011-12-20,0.62
2011-12-21,0.62
2011-12-22,0.64
2011-12-23,0.65
2011-12-27,0.65
2011-12-29,0.61
2011-12-30,0.68
2012-01-03,0.70
2012-01-04,0.71
2012-01-05,0.73
2012-01-06,0.74
2012-01-09,0.69
2012-01-10,0.70
2012-01-11,0.70
2012-01-12,0.69
2012-01-13,0.69
2012-01-17,0.64
2012-01-18,0.70
2012-01-20,0.70
2012-01-23,0.64
2012-01-24,0.64
2012-01-26,0.70
2012-01-27,0.69
2012-01-31,0.68
2012-02-02,0.67
2012-02-03,0.69
2012-02-06,0.74
2012-02-07,0.75
2012-02-09,0.70
2012-02-10,0.70
2012-02-15,0.63
2012-02-16,0.66
2012-02-17,0.65
2012-02-21,0.68
2012-02-23,0.65
2012-02-24,0.65
2012-02-27,0.70
2012-02-28,0.65
2012-02-29,0.63
2012-03-01,0.65
2012-03-02,0.65
2012-03-05,0.65
2012-03-07,0.67
2012-03-08,0.68
2012-03-09,0.70
2012-03-12,0.68
2012-03-14,0.70
2012-03-15,0.74
2012-03-16,0.75
2012-03-19,0.84
2012-03-20,0.80
2012-03-21,0.80
2012-03-22,0.75
2012-03-23,0.75
2012-03-26,0.83
2012-03-27,0.80
2012-03-29,0.80
2012-03-30,0.80
2012-04-02,0.75
2012-04-03,0.70
2012-04-04,0.75
2012-04-05,0.75
2012-04-09,0.70
2012-04-11,0.70
2012-04-12,0.75
2012-04-17,0.62
2012-04-18,0.66
2012-04-19,0.64
2012-04-23,0.64
2012-04-25,0.63
2012-04-26,0.75
2012-04-27,0.75
2012-05-01,0.75
2012-05-02,0.70
2012-05-03,0.74
2012-05-04,0.75
2012-05-07,0.75
2012-05-08,0.70
2012-05-09,0.70
2012-05-10,0.70
2012-05-14,0.69
2012-05-15,0.65
2012-05-16,0.75
2012-05-17,0.70
2012-05-18,0.70
2012-05-22,0.68
2012-05-23,0.70
2012-05-24,0.74
2012-05-25,0.74
2012-05-29,0.74
2012-05-30,0.74
2012-05-31,0.74
2012-06-01,0.75
2012-06-04,0.74
2012-06-05,0.75
2012-06-06,0.79
2012-06-07,0.75
2012-06-08,0.75
2012-06-11,0.75
2012-06-12,0.75
2012-06-13,0.79
2012-06-14,0.74
2012-06-15,0.74
2012-06-18,0.78
2012-06-19,0.84
2012-06-20,0.84
2012-06-21,0.69
2012-06-22,0.80
2012-06-25,0.82
2012-06-26,0.83
2012-06-28,0.83
2012-07-02,0.81
2012-07-09,0.82
2012-07-11,0.70
2012-07-12,0.70
2012-07-13,0.75
2012-07-17,0.80
2012-07-18,0.74
2012-07-19,0.80
2012-07-23,0.80
2012-07-25,0.80
2012-07-26,0.80
2012-07-27,0.67
2012-07-30,0.80
2012-08-03,0.80
2012-08-08,0.79
2012-08-09,0.78
2012-08-13,0.78
2012-08-14,0.74
2012-08-15,0.75
2012-08-16,0.72
2012-08-17,0.79
2012-08-20,0.79
2012-08-21,0.79
2012-08-23,0.78
2012-08-24,0.72
2012-08-27,0.80
2012-08-28,0.78
2012-08-30,0.76
2012-08-31,0.78
2012-09-05,0.80
2012-09-06,0.76
2012-09-07,0.82
2012-09-10,0.80
2012-09-11,0.81
2012-09-12,0.72
2012-09-13,0.72
2012-09-14,0.72
2012-09-17,0.72
2012-09-19,0.79
2012-09-20,0.79
2012-09-24,0.70
2012-09-25,0.80
2012-09-26,0.80
2012-09-27,0.76
2012-09-28,0.80
2012-10-02,0.75
2012-10-03,0.80
2012-10-08,0.80
2012-10-09,0.70
2012-10-10,0.72
2012-10-11,0.75
2012-10-15,0.75
2012-10-16,0.77
2012-10-18,0.77
2012-10-23,0.78
2012-10-31,0.75
2012-11-02,0.76
2012-11-06,0.75
2012-11-08,0.76
2012-11-09,0.72
