period_end_date,reported
2017-12-31,0.10
2018-03-31,0.06
2018-06-30,0.07
2018-09-30,0.08
2018-12-31,0.08
2019-03-31,0.07
2019-06-30,0.06
2019-09-30,0.06
2019-12-31,0.09
2020-03-31,0.09
2020-06-30,0.09
2020-09-30,0.04
2020-12-31,0.05
2021-03-31,-0.02
2021-06-30,0.08
2021-09-30,0.17
2021-12-31,0.23
2022-03-31,0.03
2022-06-30,0.08
2022-09-30,0.13
2022-12-31,0.20
2023-03-31,0.04
2023-06-30,0.09
2023-09-30,0.10
2023-12-31,0.04
2024-03-31,0.00
2024-06-30,0.04
2024-09-30,0.07
date,shares_outstanding
2017-12-31,32800000
2018-06-30,33200000
2018-09-30,33200000
2018-12-31,33200000
2019-03-31,32200000
2019-06-30,32400000
2019-09-30,32700000
2019-12-31,32700000
2020-03-31,33100000
2020-06-30,34700000
2020-09-30,34700000
2020-12-31,34700000
2021-03-31,34800000
2021-06-30,34700000
2021-09-30,34700000
2021-12-31,38200000
2022-03-31,39000000
2022-06-30,38400000
2022-09-30,37400000
2022-12-31,37400000
2023-03-31,36600000
2023-06-30,35900000
2023-09-30,33900000
2023-12-31,33900000
2024-03-31,31700000
2024-06-30,31700000
2024-09-30,31800000
date,total_assets
2017-12-31,9000000
2018-06-30,11000000
2018-09-30,13000000
2018-12-31,16000000
2019-03-31,19000000
2019-06-30,22000000
2019-09-30,25000000
2019-12-31,28000000
2020-03-31,33000000
2020-06-30,37000000
2020-09-30,65000000
2020-12-31,72000000
2021-03-31,70000000
2021-06-30,84000000
2021-09-30,91000000
2021-12-31,133000000
2022-03-31,132000000
2022-06-30,120000000
2022-09-30,115000000
2022-12-31,116000000
2023-03-31,111000000
2023-06-30,153000000
2023-09-30,151000000
2023-12-31,137000000
2024-03-31,126000000
2024-06-30,122000000
2024-09-30,126000000
date,total_liabilities
2017-12-31,4000000
2018-06-30,4000000
2018-09-30,4000000
2018-12-31,7000000
2019-03-31,7000000
2019-06-30,8000000
2019-09-30,8000000
2019-12-31,9000000
2020-03-31,10000000
2020-06-30,10000000
2020-09-30,11000000
2020-12-31,15000000
2021-03-31,14000000
2021-06-30,26000000
2021-09-30,27000000
2021-12-31,59000000
2022-03-31,56000000
2022-06-30,51000000
2022-09-30,50000000
2022-12-31,50000000
2023-03-31,47000000
2023-06-30,90000000
2023-09-30,93000000
2023-12-31,91000000
2024-03-31,93000000
2024-06-30,89000000
2024-09-30,90000000
date,net_income
2018-09-30,2590000
2018-12-31,2620000
2019-03-31,2350000
2019-06-30,2160000
2019-09-30,2030000
2019-12-31,2950000
2020-03-31,2940000
2020-06-30,3020000
2020-09-30,1330000
2020-12-31,1790000
2021-03-31,-710000
2021-06-30,2810000
2021-09-30,6110000
2021-12-31,8890000
2022-03-31,1380000
2022-06-30,3350000
2022-09-30,4870000
2022-12-31,7450000
2023-03-31,1570000
2023-06-30,3350000
2023-09-30,3590000
2023-12-31,1220000
2024-03-31,10000
2024-06-30,1220000
2024-09-30,2380000
date,sales
2018-09-30,8130000
2018-12-31,9340000
2019-03-31,9200000
2019-06-30,10300000
2019-09-30,11820000
2019-12-31,14160000
2020-03-31,15230000
2020-06-30,19260000
2020-09-30,20030000
2020-12-31,25610000
2021-03-31,24130000
2021-06-30,31020000
2021-09-30,34790000
2021-12-31,40370000
2022-03-31,31080000
2022-06-30,36760000
2022-09-30,41520000
2022-12-31,48810000
2023-03-31,42170000
2023-06-30,44950000
2023-09-30,49920000
2023-12-31,47290000
2024-03-31,46530000
2024-06-30,49880000
2024-09-30,49970000
date,gross_profit
2018-09-30,6490000
2018-12-31,7510000
2019-03-31,4940000
2019-06-30,8350000
2019-09-30,9560000
2019-12-31,13810000
2020-03-31,11830000
2020-06-30,15200000
2020-09-30,15730000
2020-12-31,19950000
2021-03-31,18240000
2021-06-30,23760000
2021-09-30,27950000
2021-12-31,33040000
2022-03-31,24160000
2022-06-30,29450000
2022-09-30,33130000
2022-12-31,39420000
2023-03-31,32900000
2023-06-30,35680000
2023-09-30,40360000
2023-12-31,37010000
2024-03-31,37230000
2024-06-30,39910000
2024-09-30,39790000
